Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0243"
"0.1000","0.0007","0.0245"
"0.2000","0.0033","0.0263"
"0.3000","0.0152","0.0339"
"0.4000","0.0243","0.0399"
"0.5000","0.0330","0.0456"
"0.6000","0.0410","0.0508"
"0.7000","0.0494","0.0560"
"0.8000","0.0576","0.0612"
"0.9000","0.0661","0.0666"
"1.0000","0.0743","0.0717"
"1.1000","0.0831","0.0773"
"1.2000","0.0912","0.0824"
"1.3000","0.0995","0.0873"
"1.4000","0.1077","0.0925"
"1.5000","0.1162","0.0978"
"1.6000","0.1245","0.1029"
"1.7000","0.1331","0.1082"
"1.8000","0.1412","0.1131"
"1.9000","0.1494","0.1180"
"2.0000","0.1576","0.1231"
"2.1000","0.1660","0.1280"
"2.2000","0.1746","0.1334"
"2.3000","0.1830","0.1384"
"2.4000","0.1912","0.1431"
"2.5000","0.1994","0.1477"
"2.6000","0.2077","0.1527"
"2.7000","0.2160","0.1578"
"2.8000","0.2247","0.1625"
"2.9000","0.2329","0.1674"
"3.0000","0.2412","0.1720"
"3.1000","0.2492","0.1768"
"3.2000","0.2577","0.1812"
"3.3000","0.2660","0.1860"
"3.4000","0.2748","0.1909"
"3.5000","0.2828","0.1953"
"3.6000","0.2913","0.1997"
"3.7000","0.2993","0.2040"
"3.8000","0.3075","0.2085"
"3.9000","0.3159","0.2128"
"4.0000","0.3247","0.2177"
"4.1000","0.3327","0.2216"
"4.2000","0.3411","0.2258"
"4.3000","0.3492","0.2300"
"4.4000","0.3576","0.2342"
"4.5000","0.3661","0.2382"
"4.6000","0.3748","0.2427"
"4.7000","0.3830","0.2465"
"4.8000","0.3913","0.2502"
"4.9000","0.3995","0.2541"
"5.0000","0.4077","0.2580"
"5.1000","0.4165","0.2618"
"5.2000","0.4246","0.2655"
"5.3000","0.4327","0.2690"
"5.4000","0.4411","0.2728"
"5.5000","0.4495","0.2761"
"5.6000","0.4575","0.2797"
"5.7000","0.4666","0.2834"
"5.8000","0.4746","0.2867"
"5.9000","0.4829","0.2900"
"6.0000","0.4912","0.2933"
"6.1000","0.4995","0.2967"
"6.2000","0.5075","0.2997"
"6.3000","0.5166","0.3033"
"6.4000","0.5243","0.3061"
"6.5000","0.5328","0.3092"
"6.6000","0.5411","0.3122"
"6.7000","0.5492","0.3150"
"6.8000","0.5578","0.3183"
"6.9000","0.5666","0.3216"
"7.0000","0.5742","0.3240"
"7.1000","0.5829","0.3272"
"7.2000","0.5911","0.3299"
"7.3000","0.5990","0.3325"
"7.4000","0.6080","0.3358"
"7.5000","0.6163","0.3385"
"7.6000","0.6240","0.3409"
"7.7000","0.6327","0.3438"
"7.8000","0.6410","0.3464"
"7.9000","0.6491","0.3487"
"8.0000","0.6582","0.3520"
"8.1000","0.6664","0.3544"
"8.2000","0.6745","0.3569"
"8.3000","0.6829","0.3595"
"8.4000","0.6912","0.3621"
"8.5000","0.6993","0.3643"
"8.6000","0.7082","0.3673"
"8.7000","0.7161","0.3692"
"8.8000","0.7244","0.3718"
"8.9000","0.7328","0.3741"
